Name, Title
Michael Cvitkovic,Graduate Researcher in Machine Learning at Caltech
Andrea Kuszewski,Cognitive Scientist- Behavior Therapist & Consultant- Science Writer
Joe Pickrell,Co-founder and CEO of Gencove
Jeffrey Erlich,Neuroscience Professor at NYU Shanghai
Kelly Nicol,Medical Student and Graduate Researcher in Biomedical Sciences/3D Modeling
Andrew Quaile,Postdoctoral Fellow and Mass Spectrometry Specialist at University of Toronto
Pradeep Reddy Raamana,Machine Learning Researcher at The Rotman Research Institute at Baycrest
Raghunath Raja Chandrasekar,Research and Development at Amazon Web Services
Ralph Kube,Plasma Physicist at The Arctic University of Norway
