Name, Title
Ted Ullyot,Head of Policy and Regulatory Affairs at Andreessen Horowitz
David S. Lesperance,Managing Partner at Lesperance & Associates
Yuri Chumak,Partner at Chumak & Company LLP
Sam Alexander,Lawyer- Manager at BDO
Tim Moynihan,Lawyer and Founder of Moynihan Partners LLC
Steven Young,International Lawyer at the Hastings Law Group
Davut Erkan,Lawyer- specializing in Human Rights Law
Russell Waters,Founder and Partner at WatersOAG LLC
Delta-Kevin,Lawyer and Regulatory Strategy Specialist
